Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color,combined_text
certified,vvs2,7.07,4.46,7.13,62.8,labgrown,1.41,igi,excellent,295.47,excellent,diap,round,0.99,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: round, Price: 295.47, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,9.77,3.87,6.25,61.9,labgrown,1.41,igi,excellent,318.65,excellent,diap,pear,1.56,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: pear, Price: 318.65, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,9.95,3.89,6.13,63.5,labgrown,1.41,igi,excellent,359.2,excellent,diap,pear,1.62,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: pear, Price: 359.2, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.19,4.45,7.23,61.7,labgrown,1.41,igi,excellent,385.27,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 385.27, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,9.77,3.88,6.22,62.4,labgrown,1.41,igi,excellent,298.63,excellent,diap,pear,1.57,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: pear, Price: 298.63, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,9.91,3.8,6.11,62.2,labgrown,1.41,igi,excellent,264.19,excellent,diap,pear,1.62,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: pear, Price: 264.19, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.19,4.08,6.0,68.0,labgrown,1.41,igi,excellent,264.19,excellent,diap,cushion,1.2,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: g, Cut: excellent, Shape: cushion, Price: 264.19, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.22,4.34,7.24,60.0,labgrown,1.41,igi,excellent,328.15,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: ideal, Shape: round, Price: 328.15, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.13,4.34,5.98,72.6,labgrown,1.41,igi,excellent,319.81,excellent,diap,princess,1.03,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: princess, Price: 319.81, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.6,3.56,5.21,68.3,labgrown,1.41,igi,excellent,303.82,excellent,diap,emerald,1.46,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: emerald, Price: 303.82, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,9.11,3.97,6.4,62.0,labgrown,1.41,igi,excellent,341.82,excellent,diap,oval,1.42,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: oval, Price: 341.82, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,8.96,3.98,6.39,62.3,labgrown,1.41,igi,excellent,344.72,excellent,diap,oval,1.4,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: oval, Price: 344.72, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.98,3.69,5.54,66.6,labgrown,1.41,igi,excellent,347.62,excellent,diap,radiant,1.44,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: excellent, Shape: radiant, Price: 347.62, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.75,4.29,6.33,67.8,labgrown,1.41,igi,excellent,315.75,excellent,diap,cushion,1.07,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: cushion, Price: 315.75, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.3,4.29,6.04,71.0,labgrown,1.41,igi,excellent,315.75,excellent,diap,cushion,1.04,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: cushion, Price: 315.75, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.14,4.45,7.18,62.3,labgrown,1.41,igi,excellent,336.03,excellent,diap,round,0.99,ideal,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: ideal, Shape: round, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.11,4.44,7.15,62.3,labgrown,1.41,igi,excellent,336.03,excellent,diap,round,0.99,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: round, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: excellent"
