Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color
Certified,VVS2,7.07,4.46,7.13,62.8,LabGrown,1.41,IGI,EXCELLENT,295.47,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,E
Certified,VVS2,9.77,3.87,6.25,61.9,LabGrown,1.41,IGI,EXCELLENT,318.65,EXCELLENT,DIAP,PEAR,1.56,EXCELLENT,D
Certified,VS1,9.95,3.89,6.13,63.5,LabGrown,1.41,IGI,EXCELLENT,359.2,EXCELLENT,DIAP,PEAR,1.62,EXCELLENT,D
Certified,VS1,7.19,4.45,7.23,61.7,LabGrown,1.41,IGI,EXCELLENT,385.27,EXCELLENT,DIAP,ROUND,0.99,IDEAL,D
Certified,VVS2,9.77,3.88,6.22,62.4,LabGrown,1.41,IGI,EXCELLENT,298.63,EXCELLENT,DIAP,PEAR,1.57,EXCELLENT,E
Certified,VS1,9.91,3.8,6.11,62.2,LabGrown,1.41,IGI,EXCELLENT,264.19,EXCELLENT,DIAP,PEAR,1.62,EXCELLENT,F
Certified,VS2,7.19,4.08,6.0,68.0,LabGrown,1.41,IGI,EXCELLENT,264.19,EXCELLENT,DIAP,CUSHION,1.2,EXCELLENT,G
Certified,VS1,7.22,4.34,7.24,60.0,LabGrown,1.41,IGI,EXCELLENT,328.15,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VS1,6.13,4.34,5.98,72.6,LabGrown,1.41,IGI,EXCELLENT,319.81,EXCELLENT,DIAP,PRINCESS,1.03,EXCELLENT,E
Certified,VVS2,7.6,3.56,5.21,68.3,LabGrown,1.41,IGI,EXCELLENT,303.82,EXCELLENT,DIAP,EMERALD,1.46,EXCELLENT,D
Certified,VVS2,9.11,3.97,6.4,62.0,LabGrown,1.41,IGI,EXCELLENT,341.82,EXCELLENT,DIAP,OVAL,1.42,EXCELLENT,E
Certified,VVS2,8.96,3.98,6.39,62.3,LabGrown,1.41,IGI,EXCELLENT,344.72,EXCELLENT,DIAP,OVAL,1.4,EXCELLENT,D
Certified,VVS2,7.98,3.69,5.54,66.6,LabGrown,1.41,IGI,EXCELLENT,347.62,EXCELLENT,DIAP,RADIANT,1.44,EXCELLENT,F
Certified,VS1,6.75,4.29,6.33,67.8,LabGrown,1.41,IGI,EXCELLENT,315.75,EXCELLENT,DIAP,CUSHION,1.07,EXCELLENT,F
Certified,VS1,6.3,4.29,6.04,71.0,LabGrown,1.41,IGI,EXCELLENT,315.75,EXCELLENT,DIAP,CUSHION,1.04,EXCELLENT,F
Certified,VS1,7.14,4.45,7.18,62.3,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,0.99,IDEAL,F
Certified,VS1,7.11,4.44,7.15,62.3,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,F
Certified,VVS2,7.06,4.51,7.1,63.6,LabGrown,1.41,IGI,VERY GOOD,367.89,VERY GOOD,DIAP,ROUND,0.99,EXCELLENT,H
Certified,VVS2,7.13,4.45,7.19,62.2,LabGrown,1.41,IGI,EXCELLENT,365.0,EXCELLENT,DIAP,ROUND,0.99,IDEAL,I
Certified,VS2,7.1,4.46,7.14,62.6,LabGrown,1.41,IGI,EXCELLENT,376.58,EXCELLENT,DIAP,ROUND,0.99,VERY GOOD,I
Certified,VVS2,7.37,3.54,5.14,68.9,LabGrown,1.41,IGI,EXCELLENT,312.85,VERY GOOD,DIAP,EMERALD,1.43,EXCELLENT,F
Certified,VVS2,7.59,3.6,5.12,70.3,LabGrown,1.41,IGI,EXCELLENT,312.85,EXCELLENT,DIAP,EMERALD,1.48,EXCELLENT,F
Certified,VVS2,6.99,3.93,5.96,65.9,LabGrown,1.41,IGI,VERY GOOD,353.41,EXCELLENT,DIAP,CUSHION,1.17,EXCELLENT,G
Certified,VS1,7.2,4.09,5.95,68.7,LabGrown,1.41,IGI,EXCELLENT,336.03,VERY GOOD,DIAP,CUSHION,1.21,EXCELLENT,G
Certified,VVS2,9.91,3.94,6.34,62.1,LabGrown,1.41,IGI,EXCELLENT,402.65,EXCELLENT,DIAP,PEAR,1.56,EXCELLENT,H
Certified,VS1,7.39,3.59,5.26,68.3,LabGrown,1.41,IGI,EXCELLENT,307.06,EXCELLENT,DIAP,EMERALD,1.4,EXCELLENT,H
Certified,VVS2,10.13,3.82,6.14,62.2,LabGrown,1.41,IGI,EXCELLENT,333.71,EXCELLENT,DIAP,PEAR,1.65,EXCELLENT,E
Certified,VVS2,7.15,4.44,7.18,61.9,LabGrown,1.41,IGI,EXCELLENT,328.15,EXCELLENT,DIAP,ROUND,1.0,IDEAL,F
Certified,VS1,7.84,3.51,5.33,65.9,LabGrown,1.41,IGI,EXCELLENT,272.3,EXCELLENT,DIAP,EMERALD,1.47,EXCELLENT,E
Certified,VS1,7.94,3.67,5.56,66.0,LabGrown,1.41,IGI,EXCELLENT,275.2,EXCELLENT,DIAP,RADIANT,1.43,EXCELLENT,E
Certified,VVS2,7.1,4.45,7.15,62.6,LabGrown,1.41,IGI,EXCELLENT,315.75,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,D
Certified,VVS1,7.08,4.44,7.11,62.5,LabGrown,1.41,IGI,EXCELLENT,344.72,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VVS2,7.12,4.46,7.16,62.5,LabGrown,1.41,IGI,EXCELLENT,307.06,EXCELLENT,DIAP,ROUND,0.99,IDEAL,E
Certified,VS2,7.1,4.44,7.13,62.4,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,IF,7.93,3.69,5.63,65.5,LabGrown,1.41,IGI,EXCELLENT,396.88,EXCELLENT,DIAP,RADIANT,1.41,EXCELLENT,E
Certified,VS1,7.14,4.47,7.18,62.4,LabGrown,1.41,IGI,EXCELLENT,327.37,EXCELLENT,DIAP,ROUND,0.99,IDEAL,D
Certified,VS1,6.2,4.13,6.15,67.2,LabGrown,1.41,IGI,EXCELLENT,333.13,EXCELLENT,DIAP,ASSCHER,1.01,EXCELLENT,D
Certified,VS1,7.74,4.06,5.95,68.2,LabGrown,1.41,IGI,EXCELLENT,280.99,EXCELLENT,DIAP,CUSHION,1.3,EXCELLENT,E
